188.119.17.116,Edith Test Ekmek
185.160.30.10,Infernal Roleplay V2.0 | Sesli | Türk-Türkçe - MediumPlus - Hard Roleplay
146.103.26.136,【TAG】✖ Türkiyem Adalet Gaming ✖ Askeri Polisiye Roleplay Serveri【TR/AZ】
146.103.24.55, Forever Roleplay || Global Konsept - Text/Sesli Roleplay
62.169.153.131,Rost Roleplay - İstanbulun Adaletsiz Sokakları [Global/Medium Ekonomi]
51.91.91.99,Elegance Roleplay ❱ Text/Yazılı Roleplay ❰ (TR/AZE) ❰ (Türk/Türkçe)
194.113.226.34,[TR] Red Gaming [Meslek/Klan/Turf/Emek/RPG/Ev/Kasa/Ticaret/Turkish/Türkiye]
146.103.26.67,[TR] MTA Türkiye ❖ Reckless Gaming Freeroam ❖ [Ankara/Türkiye/Klan/Tr/Turk/Ev/Drift]
94.156.113.156,Gizem Roleplay V1 Sesli/Yazılı/Medium/Türk Roleplay
91.124.63.41,█ ♦ Rest Roleplay ♦ | Global/Medium | İstanbulda Geçiyor! | discord.gg/restroleplay
85.235.74.208,█Anadolu Roleplay|Türk-Sesli|Modlu Araçlar|Yüksek FPS
94.156.113.155,Latte Roleplay v1.0 | İstanbul-Medium-Global | Sesli/Yazılı
146.103.24.40,Asil Roleplay  ☆ discord.gg/asilrp ☆ Türk / Türkçe ☆ Sesli ☆ Medium ☆ İstanbul ☆
92.242.165.63,[TR] Vatan Roleplay | discord.gg/vatanmta | Türk | Sesli/Yazılı | Tek Gerçek VatanMTA
