188.119.17.164,Edith Test Ekmek
185.160.30.39,♦ Riva Roleplay discord.gg/rivamta ♦ - Medium RP - Sesli-Yazılı
51.91.91.110,Ratheus Roleplay | V2.5 | Sesli/Yazili/Medium/Global/Hard | discord.gg/ratheusroleplay
89.45.44.28,Arel Roleplay | arelroleplay.com | Turkce - Medium - Sesli Roleplay
185.176.94.43,Criminal Roleplay  ☆ discord.gg/criminalrp ☆ Türk ☆ Sesli ☆ Medium ☆
31.58.250.47,Anox Roleplay ❱ Global-Hard-Türkiye Roleplay ❰
146.103.26.139,Nova Roleplay | Sesli-yazılı | Türk Konsept | Hard Roller - Global - MediumPlus
193.106.196.54,[TR] 24 Roleplay V1.1 ► Türkiye/Global Türkçe Hard Text Roleplay ◄ [www.24roleplay.com]
141.11.109.3,Ascend Roleplay - V1.0 Medium - Sesli/Turkce
185.160.30.7,[TR] Land Roleplay | discord.gg/Landmta | Türk | Sesli/Yazılı
193.160.21.151,[TR] Vatan Roleplay | discord.gg/vatanmta | Türk | Sesli/Yazılı
212.38.88.205,Neva Roleplay V1 | Medium/Global/Sesli | .gg/nevaroleplay
185.160.30.253,Refresh Roleplay v0.1 ✦ discord.gg/refreshmta ✦ Sesli/Yazılı |TR/AZ
5.133.101.247,❋ [TR/AZ] Fear Roleplay | sesli/yazılı - hard - | Global/Türkiye | discord.gg/fearmta
